job_id,company_id,job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg
41887,1539,Machine Learning Engineer,Machine Learning Engineer/DevOps Engineer,"Amsterdam, Netherlands",via Ai-Jobs.net,Full-time,FALSE,Netherlands,1/4/2023,FALSE,FALSE,Netherlands,year,69000,
41929,1987,Data Engineer,Google Cloud Platform Data Engineer,"Bay Point, CA",via Dice,Full-time,FALSE,Sudan,2/3/2023,TRUE,FALSE,Sudan,year,130000,
43257,2043,Data Engineer,Data Engineer,United States,via LinkedIn,Full-time,FALSE,"California, United States",5/12/2023,FALSE,TRUE,United States,year,97500,
43261,2045,Data Scientist,Principal/Associate Director Data Science,Anywhere,via LinkedIn,Full-time,TRUE,Sudan,3/16/2023,FALSE,FALSE,Sudan,year,180000,
44422,2095,Data Analyst,Data Analyst Jobs,"Tampa, FL",via Clearance Jobs,Full-time,FALSE,"Florida, United States",4/3/2023,FALSE,FALSE,United States,year,75000,
44970,2118,Data Engineer,Mid/Senior Data Engineer (Python),Anywhere,via Wellfound,Full-time,TRUE,Estonia,8/10/2023,TRUE,FALSE,Estonia,year,50000,
45741,82,Senior Data Scientist,Senior Generative AI Data Scientist,"Virginia Beach, VA",via JobServe,Full-time,FALSE,Georgia,9/19/2023,FALSE,FALSE,United States,year,199838,
45788,2153,Data Engineer,GCP Lead Data Engineer,"Cincinnati, OH",via LinkedIn,Full-time,FALSE,"New York, United States",5/30/2023,TRUE,TRUE,United States,year,120000,
45828,2158,Data Engineer,BI Data Architect,"Colombo, Sri Lanka",via Ai-Jobs.net,Full-time,FALSE,Sri Lanka,7/29/2023,FALSE,FALSE,Sri Lanka,year,163782,
45884,162,Senior Data Engineer,Senior Data Engineer,Anywhere,via LinkedIn,Full-time,TRUE,Georgia,5/12/2023,FALSE,TRUE,United States,year,145000,
46118,2175,Senior Data Engineer,Senior Data Engineer,"Chicago, IL",via LinkedIn,Full-time,FALSE,"Florida, United States",1/18/2023,FALSE,TRUE,United States,year,172500,
46222,430,Data Scientist,Data Scientist,Anywhere,via LinkedIn,Full-time,TRUE,"Texas, United States",11/10/2023,FALSE,FALSE,United States,year,122500,
47597,2230,Data Scientist,Clinical Data Scientist- Associate Director,Anywhere,via Indeed,Full-time,TRUE,"California, United States",6/20/2023,FALSE,TRUE,United States,year,187500,
48448,948,Senior Data Engineer,Senior Data Engineer,"Charlotte, NC",via JobServe,Full-time,FALSE,"Texas, United States",7/23/2023,FALSE,TRUE,United States,year,84000,
49107,2293,Data Scientist,Data Scientist,"Tampa, FL",via Indeed,Full-time,FALSE,"Florida, United States",7/11/2023,FALSE,FALSE,United States,year,115000,
49363,2304,Data Engineer,Lead Data Engineer,,via LinkedIn,Full-time,FALSE,"Illinois, United States",11/26/2023,TRUE,FALSE,United States,year,212500,
51450,2378,Data Scientist,Data Scientist,"Bengaluru, Karnataka, India",via Ai-Jobs.net,Full-time,FALSE,India,8/7/2023,FALSE,FALSE,India,year,132500,
53389,102,Senior Data Engineer,"Senior Data Engineer (Peninsula, CA)","San Francisco, CA",via Built In San Francisco,Full-time,FALSE,Sudan,9/19/2023,FALSE,FALSE,Sudan,year,176500,
53477,2474,Data Engineer,Data Engineer,"San Francisco, CA",via LinkedIn,Full-time,FALSE,Georgia,4/23/2023,TRUE,FALSE,United States,year,115000,
55788,2570,Machine Learning Engineer,Machine Learning Engineer (Research),Taiwan,via Ai-Jobs.net,Full-time,FALSE,Taiwan,4/18/2023,FALSE,FALSE,Taiwan,year,101029,
56439,2603,Data Analyst,Data Analyst,"Fort Myers, FL",via LinkedIn,Full-time and Per diem,FALSE,"Florida, United States",10/12/2023,FALSE,FALSE,United States,year,77500,
59108,2720,Data Engineer,Big Data Engineer,"Kraków, Poland",via Ai-Jobs.net,Full-time,FALSE,Poland,3/8/2023,FALSE,FALSE,Poland,year,45000,
60327,2769,Data Scientist,Data Scientist - GoTo Logistic,"Bengaluru, Karnataka, India",via Ai-Jobs.net,Full-time,FALSE,India,8/16/2023,FALSE,FALSE,India,year,157500,
60548,2778,Data Analyst,Data Analyst,"Herndon, VA",via LinkedIn,Full-time,FALSE,"New York, United States",11/15/2023,FALSE,FALSE,United States,year,72500,
60610,2787,Data Analyst,"Data Analyst, Healogics At Home & iSupply","Jacksonville, FL",via Indeed,Full-time,FALSE,"Florida, United States",6/1/2023,FALSE,FALSE,United States,year,49350,
60732,2797,Data Analyst,Data Analyst (SQL) :Role 3354,Anywhere,via LinkedIn,Full-time,TRUE,"Texas, United States",4/11/2023,FALSE,TRUE,United States,year,67500,
61495,2824,Data Engineer,Lead Data Engineer,"Charlotte, NC",via Indeed,Full-time,FALSE,Georgia,3/30/2023,FALSE,FALSE,United States,year,134300,
61931,2843,Data Engineer,Data Engineer,Anywhere,via LinkedIn,Full-time,TRUE,Sudan,10/2/2023,FALSE,FALSE,Sudan,year,119500,
62109,2846,Data Scientist,Data Scientist - Finance,Anywhere,via Get.It,Full-time,TRUE,"New York, United States",12/16/2023,FALSE,TRUE,United States,year,173000,
62112,2847,Data Engineer,Data Engineer (Hadoop),"Columbus, OH",via LinkedIn,Full-time,FALSE,Georgia,7/19/2023,TRUE,FALSE,United States,year,125000,
63386,210,Senior Data Scientist,"Senior Data Science Manager - Visa, Consulting & Analytics","Stockholm, Sweden",via Ai-Jobs.net,Full-time,FALSE,Sweden,3/16/2023,FALSE,FALSE,Sweden,year,192000,
63924,2914,Data Analyst,Data Planner and Analyst,"Columbia, SC",via ZipRecruiter,Full-time,FALSE,Georgia,8/21/2023,FALSE,FALSE,United States,year,42500,
64405,2933,Data Scientist,Data Scientist,Anywhere,via LinkedIn,Full-time,TRUE,Sudan,9/21/2023,FALSE,TRUE,Sudan,year,185000,
66378,3013,Data Engineer,Data Engineer (Mission Driven Company),"McLean, VA",via LinkedIn,Full-time,FALSE,Sudan,9/28/2023,FALSE,TRUE,Sudan,year,145000,
66950,123,Data Engineer,Data Engineer Data & Analytics 1412382,Anywhere,via LinkedIn,Full-time,TRUE,"Illinois, United States",12/7/2023,FALSE,FALSE,United States,year,122000,
67308,3044,Data Analyst,Data Analytics Specialist With SQL & Tableau,"Tirana, Albania",via Ai-Jobs.net,Full-time,FALSE,Albania,11/17/2023,FALSE,FALSE,Albania,year,43200,
68120,156,Data Engineer,Data Engineer,Anywhere,via LinkedIn,Full-time,TRUE,"California, United States",3/31/2023,FALSE,FALSE,United States,year,147500,
68593,2707,Senior Data Analyst,Senior Business Data Analyst,New Jersey,via LinkedIn,Full-time,FALSE,"New York, United States",3/31/2023,TRUE,FALSE,United States,year,100000,
68756,3102,Data Scientist,Data Scientist,"Oslo, Norway",via Ai-Jobs.net,Full-time,FALSE,Norway,6/20/2023,FALSE,FALSE,Norway,year,132500,
69262,259,Senior Data Analyst,Senior Data Analyst - Global Internal Audit,"Heredia Province, Heredia, Costa Rica",via Ai-Jobs.net,Full-time,FALSE,Costa Rica,1/17/2023,FALSE,FALSE,Costa Rica,year,51014,
69869,348,Data Scientist,Data Scientist-Machine Learning (TS/SCI + Full Scope Poly),"Chantilly, VA",via Indeed,Full-time,FALSE,"New York, United States",2/2/2023,FALSE,TRUE,United States,year,152000,
70332,3165,Data Scientist,Data Scientist,Anywhere,via LinkedIn,Full-time and Part-time,TRUE,"Illinois, United States",9/26/2023,FALSE,TRUE,United States,year,99400,
70354,3166,Data Scientist,Data Scientist - REMOTE,Anywhere,via LinkedIn,Full-time,TRUE,"Texas, United States",1/6/2023,FALSE,FALSE,United States,year,130000,
70457,3168,Data Scientist,Data Scientist Jobs,"Suitland-Silver Hill, MD",via Clearance Jobs,Full-time,FALSE,"New York, United States",8/25/2023,FALSE,FALSE,United States,year,137500,
70766,3183,Senior Data Analyst,ERP Senior Data Analyst,"Tampa, FL",via LinkedIn,Full-time,FALSE,"Florida, United States",8/26/2023,FALSE,FALSE,United States,year,112500,
70792,3185,Data Engineer,Data Engineer,"San Antonio, TX",via LinkedIn,Full-time,FALSE,"Illinois, United States",2/15/2023,FALSE,FALSE,United States,year,115000,
71223,154,Data Engineer,Lead Data Engineer (Remote-Eligible),"Greenbelt, MD",via WJTV Jobs,Full-time,FALSE,"California, United States",2/4/2023,FALSE,TRUE,United States,year,208114,
71739,83,Data Engineer,Associate Data Engineer,"Columbus, OH",via LinkedIn,Full-time,FALSE,"Texas, United States",10/19/2023,FALSE,TRUE,United States,year,97151,
72734,348,Data Scientist,Entry Level - Associate Data Scientist - Commercial,"Dallas, TX",via LinkedIn,Full-time and Part-time,FALSE,Sudan,11/3/2023,FALSE,TRUE,Sudan,year,107000,
72846,3272,Data Engineer,Cloud Data Engineer,Pennsylvania,via LinkedIn,Full-time,FALSE,"Texas, United States",5/17/2023,FALSE,FALSE,United States,year,117500,
72868,797,Senior Data Engineer,Senior Data Engineer,"San Diego, CA",via LinkedIn,Full-time,FALSE,"Illinois, United States",1/6/2023,FALSE,TRUE,United States,year,140000,
74616,3334,Data Engineer,Data Engineer - Remote (Req. #544),Anywhere,via LinkedIn,Full-time,TRUE,"New York, United States",9/15/2023,FALSE,TRUE,United States,year,115000,
77642,3447,Data Analyst,Business Data Analyst -3700,"Los Angeles, CA",via Indeed,Full-time,FALSE,"California, United States",3/28/2023,FALSE,FALSE,United States,year,90000,
78027,797,Senior Data Engineer,Senior Data Engineer,"Mission Viejo, CA",via LinkedIn,Full-time,FALSE,"Florida, United States",5/12/2023,TRUE,FALSE,United States,year,150000,
78405,3477,Data Engineer,Data Engineer,Anywhere,via LinkedIn,Full-time,TRUE,"Texas, United States",6/7/2023,FALSE,TRUE,United States,year,93500,
78837,3502,Data Analyst,Membership Data Analyst,"Columbia, SC",via BeBee,Full-time,FALSE,Georgia,12/12/2023,FALSE,TRUE,United States,year,60000,
78864,3504,Data Engineer,Data Engineer,Pakistan,via Ai-Jobs.net,Full-time,FALSE,Pakistan,11/21/2023,FALSE,FALSE,Pakistan,year,146000,
79114,3514,Senior Data Engineer,Senior Data Engineer,"Cupertino, CA",via LinkedIn,Full-time,FALSE,"Texas, United States",10/30/2023,TRUE,FALSE,United States,year,185000,
80722,3570,Data Engineer,Data Visualization Engineer,"St. Louis, MO",via Ai-Jobs.net,Full-time,FALSE,"Illinois, United States",7/20/2023,FALSE,FALSE,United States,year,118850,
81246,3588,Senior Data Engineer,Senior Data Engineer,"Houston, TX",via LinkedIn,Full-time,FALSE,"New York, United States",3/7/2023,FALSE,FALSE,United States,year,152500,
81369,3590,Data Engineer,Python Data Engineer,Anywhere,via LinkedIn,Contractor,TRUE,"California, United States",10/23/2023,FALSE,FALSE,United States,year,165000,
83150,1966,Senior Data Engineer,Senior Data Engineer (Snowflake),"Portland, OR",via LinkedIn,Full-time,FALSE,"Illinois, United States",12/28/2023,TRUE,TRUE,United States,year,157500,
84917,123,Software Engineer,Software Engineer - Data Engineering/Enterprise App Platforms,Anywhere,via LinkedIn,Full-time,TRUE,Mexico,10/5/2023,FALSE,FALSE,Mexico,year,155000,
85722,3766,Senior Data Engineer,Senior Data Engineer (Fintech),"New York, NY",via Dice,Full-time,FALSE,"Texas, United States",3/10/2023,TRUE,TRUE,United States,year,165000,
86833,3812,Data Analyst,Junior Data Analyst,"Parsippany-Troy Hills, NJ",via Indeed,Contractor,FALSE,"New York, United States",8/21/2023,FALSE,TRUE,United States,year,55000,
87130,3823,Data Scientist,Head of Analytics & Data Science,Anywhere,via LinkedIn,Contractor,TRUE,"Texas, United States",10/2/2023,FALSE,TRUE,United States,year,122500,
89158,1293,Data Scientist,Data Scientist,,via LinkedIn,Full-time,FALSE,"New York, United States",8/14/2023,FALSE,FALSE,United States,year,175000,
90983,3990,Data Engineer,Data Engineer Jobs,"Falls Church, VA",via Clearance Jobs,Full-time,FALSE,"Illinois, United States",12/14/2023,FALSE,FALSE,United States,year,85000,
92759,4060,Data Analyst,Evaluation and Data Analyst,"Chicago, IL",via Indeed,Full-time,FALSE,"Illinois, United States",8/17/2023,FALSE,TRUE,United States,year,86000,
93605,210,Senior Data Engineer,Senior Data Engineer – Data warehouse,"Bengaluru, Karnataka, India",via Ai-Jobs.net,Full-time,FALSE,India,2/19/2023,FALSE,FALSE,India,year,147500,
94281,4125,Data Analyst,Data Analytics UX Designer,"Chicago, IL",via LinkedIn,Full-time,FALSE,"Illinois, United States",7/18/2023,FALSE,FALSE,United States,year,82500,
95549,4158,Data Scientist,"Data Scientist, Algorithmic Recommendations",Anywhere,via Indeed,Full-time,TRUE,"California, United States",7/18/2023,FALSE,TRUE,United States,year,123000,
96270,4188,Data Analyst,Data Analytics- Auto Intern,"Austin, TX",via LinkedIn,Internship,FALSE,"Texas, United States",11/18/2023,FALSE,FALSE,United States,year,35000,
98040,4262,Data Analyst,"Associate, Asset Data Analytics & Reporting",United States,via Ai-Jobs.net,Full-time,FALSE,Sudan,12/10/2023,FALSE,FALSE,Sudan,year,72000,
98717,4292,Data Engineer,Data Engineer,Anywhere,via Indeed,Full-time,TRUE,"California, United States",10/3/2023,FALSE,TRUE,United States,year,145000,
99244,4309,Data Engineer,DATA SCIENCE/DATA ENGINEER,"California City, CA",via Dice,Full-time,FALSE,"California, United States",7/17/2023,FALSE,FALSE,United States,year,110000,
99364,4314,Senior Data Analyst,"Senior Analyst, EV Reporting and Analytics – MN8","Delray Beach, FL",via LinkedIn,Full-time,FALSE,"Florida, United States",8/24/2023,FALSE,FALSE,United States,year,95000,
99714,156,Data Engineer,Remote Data Engineer,Anywhere,via LinkedIn,Full-time,TRUE,"California, United States",7/19/2023,FALSE,FALSE,United States,year,125000,
100925,4377,Senior Data Scientist,"Senior Data Scientist - Marketplace Economy, Search & Discovery","San Mateo, CA",via Ai-Jobs.net,Full-time,FALSE,"California, United States",2/1/2023,FALSE,TRUE,United States,year,157500,
102292,4428,Data Engineer,100% REMOTE - LONG CONTRACT - Cloud Migration/Data Engineer,Anywhere,via ZipRecruiter,Contractor,TRUE,"Texas, United States",7/14/2023,FALSE,FALSE,United States,year,125000,
102895,4449,Data Analyst,Jr. Data Analyst,"Harrisburg, PA",via Dice,Full-time,FALSE,"New York, United States",1/18/2023,TRUE,FALSE,United States,year,65000,
105787,4569,Data Scientist,Data Scientist,"Quantico, VA",via Indeed,Full-time,FALSE,Georgia,11/6/2023,FALSE,TRUE,United States,year,187500,
107194,4621,Senior Data Analyst,Senior Forensic Data Analyst,"Chicago, IL",via Indeed,Full-time,FALSE,"Illinois, United States",7/13/2023,FALSE,TRUE,United States,year,104238,
107632,797,Data Engineer,Data Engineer,"Mission Viejo, CA",via LinkedIn,Full-time,FALSE,Georgia,5/12/2023,FALSE,TRUE,United States,year,150000,
108061,881,Data Analyst,Health and Safety Professional - IH Data Analyst,United States,via Ai-Jobs.net,Full-time,FALSE,"Texas, United States",12/15/2023,FALSE,FALSE,United States,year,77018,
108490,4677,Data Analyst,Sr. Data Analyst Jobs,"Falls Church, VA",via Clearance Jobs,Full-time,FALSE,"New York, United States",1/27/2023,FALSE,FALSE,United States,year,95000,
111122,156,Data Engineer,Sr Data Engineer (W2),Anywhere,via LinkedIn,Full-time,TRUE,"California, United States",6/27/2023,FALSE,FALSE,United States,year,142500,
111183,2457,Software Engineer,Data Science Software Engineer,"Calgary, AB, Canada",via Ai-Jobs.net,Full-time,FALSE,Canada,2/16/2023,FALSE,FALSE,Canada,year,99150,
111233,123,Data Engineer,Data Engineer Data & Analytics 1413144,Anywhere,via LinkedIn,Full-time,TRUE,"Texas, United States",12/19/2023,FALSE,FALSE,United States,year,186500,
112060,841,Data Analyst,Business Intelligence Data Analyst - Global Monetization Product ...,"San Jose, CA",via LinkedIn,Full-time,FALSE,"California, United States",12/7/2023,TRUE,TRUE,United States,year,208500,
112550,4830,Data Engineer,Data Engineer,Georgia,via LinkedIn,Full-time,FALSE,"Florida, United States",10/4/2023,FALSE,FALSE,United States,year,107500,
113160,4855,Data Engineer,Data Engineer (Full Scope Poly),"Herndon, VA",via ZipRecruiter,Full-time,FALSE,Georgia,10/15/2023,FALSE,TRUE,United States,year,187500,
115944,4952,Data Engineer,Data Engineer,Anywhere,via LinkedIn,Full-time,TRUE,Georgia,2/14/2023,FALSE,FALSE,United States,year,122500,
116825,926,Data Analyst,Data Analyst,Anywhere,via LinkedIn,Full-time,TRUE,"New York, United States",4/12/2023,TRUE,FALSE,United States,year,90000,
119329,5083,Data Analyst,Marketing Data Analyst,"Orlando, FL",via LinkedIn,Full-time,FALSE,"Florida, United States",8/30/2023,FALSE,FALSE,United States,year,92500,
119655,1342,Data Scientist,Principal Data Scientist,"Jacksonville, FL",via Ai-Jobs.net,Full-time,FALSE,Georgia,4/26/2023,FALSE,TRUE,United States,year,195250,
120581,5137,Data Scientist,Data Scientist,"San Diego, CA",via LinkedIn,Full-time,FALSE,"California, United States",9/19/2023,FALSE,TRUE,United States,year,125000,
121148,797,Data Engineer,Data Engineer,"Clearwater, FL",via Robert Half,Full-time,FALSE,Sudan,5/24/2023,TRUE,FALSE,Sudan,year,101000,
121922,3,Data Engineer,Data Engineer III- Remote,Anywhere,via LinkedIn,Contractor,TRUE,"Illinois, United States",7/22/2023,FALSE,TRUE,United States,year,110000,
